title;rating-avg
The Oxford Handbook of Early Christian Archaeology;5.0
Edward Albee : A Research and Production Sourcebook;5.0
Asia Classic, Tubed : Wall Maps Continents;5.0
Hauntingly Familiar : A Paranormal Thriller;5.0
The Other Judaisms of Late Antiquity : Second Edition;5.0
Freaky Florida : The Wonderhouse, the Devil's Tree, the Shaman of Philippe Park, and More;5.0
Families, Rabbis, and Education : Traditional Jewish Society in Nineteenth-century Eastern Europe;5.0
Total Transformation : Seven Sacred Steps to Freedom;5.0
Strategies for the Tech-Savvy Classroom;5.0
Spirals of Love : A Journey Into the Abyss of the Heartspace;5.0
